bhk,propertytype,location,sqft,pricepersqft,totalprice
3,Flat,Ahmedabad,1085,4569,9000000
2,Flat,Ahmedabad,724,7111,6800000
4,Flat,Ahmedabad,3650,7386,36000000
4,Flat,Ahmedabad,2780,7799,22000000
2,Flat,Ahmedabad,900,6222,8700000
3,Flat,Ahmedabad,1260,4384,12000000
2,Flat,Ahmedabad,1269,19897,7100000
3,Flat,Ahmedabad,1217,7259,10500000
2,Flat,Ahmedabad,1323,4571,4100000
2,Flat,Ahmedabad,577,6532,4500000
3,Flat,Ahmedabad,808,5843,6500000
3,Flat,Ahmedabad,2250,5983,14000000
1,Flat,Ahmedabad,580,11111,3550000
4,Flat,Ahmedabad,2200,4654,19600000
2,Flat,Ahmedabad,749,10278,3550000
3,Flat,Ahmedabad,963,8833,9200000
3,Flat,Ahmedabad,968,6250,8000000
2,Flat,Ahmedabad,696,5276,4500000
3,Flat,Ahmedabad,850,4831,7800000
2,Flat,Ahmedabad,819,5773,7000000
2,Flat,Ahmedabad,573,6119,4000000
2,Flat,Ahmedabad,850,5183,5660000
2,Flat,Ahmedabad,900,4643,7500000
3,Flat,Ahmedabad,1393,5429,10500000
2,Flat,Ahmedabad,850,26000,5000000
4,Flat,Ahmedabad,1908,4861,19000000
2,Flat,Ahmedabad,466,17962,4100000
3,Flat,Ahmedabad,1337,6186,9900000
4,Flat,Ahmedabad,3440,4509,30000000
2,Flat,Ahmedabad,674,3276,6000000
1,Flat,Ahmedabad,422,5972,2800000
3,Flat,Ahmedabad,1503,4659,5500000
1,Flat,Ahmedabad,486,6453,3500000
3,Flat,Ahmedabad,774,4699,4900000
2,Flat,Ahmedabad,819,6486,5280000
2,Flat,Ahmedabad,840,7018,4600000
3,Flat,Ahmedabad,2043,5369,12200000
2,Flat,Ahmedabad,810,3333,4200000
2,Flat,Ahmedabad,976,14198,6500000
3,Flat,Ahmedabad,1431,4598,12500000
2,Flat,Ahmedabad,1530,4682,9500000
4,Flat,Ahmedabad,2590,7764,24000000
3,Flat,Ahmedabad,1710,3846,12000000
2,Flat,Ahmedabad,938,4924,7200000
2,Flat,Ahmedabad,770,4476,5000000
2,Flat,Ahmedabad,882,5455,4200000
2,Flat,Ahmedabad,913,7692,6000000
2,Flat,Ahmedabad,1085,5903,4900000
2,Flat,Ahmedabad,1001,13620,6700000
2,Flat,Ahmedabad,1305,4996,6000000
4,Flat,Ahmedabad,2340,12876,10900000
5,Flat,Ahmedabad,2638,4444,17500000
